coicop_code,susenas_code,susenas_item,food_group,source,source_codes,energy,protein,fat,carbohydrate,fiber,ash,retinol,beta_carotene,thiamin,riboflavin,niacin,vitamin_c,calcium,copper,iron,phosphorus,potassium,sodium,zinc,bdd,water,total_carotene,enerct_kj,sum_of_proximates_g,oth_car_mcg,va_rae_mcg,vit_b6_mg,folate_mg,vit_b12_mg,vit_d_mg
,1,PADI-PADIAN,PADI-PADIAN,food_category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.1.1.1.001,2,"Beras (beras lokal, kualitas unggul, impor)",PADI-PADIAN,tkpi,AR001; AR002; AR003; AR004; AR009; AR010; AR011; AR012; AR013,359,7.933333333333334,1.8,77.25555555555556,3.566666666666667,0.9,0,0,0.27,0.07666666666666667,2.5444444444444443,0,48.111111111111114,0.18666666666666668,1.6888888888888889,158.22222222222223,99.21111111111111,25.22222222222222,0.9444444444444444,100,11.8,16,,,,,,,,
01.1.1.1.003,3,Beras ketan,PADI-PADIAN,tkpi,AR007; AR008,360.5,7.7,1.5499999999999998,76.45,0.7,1,0,0,0.26,0.05,1.7,0,11.5,0.28,4.8,252,285,7,2.2,100,13.3,0,,,,,,,,
01.1.1.1.006,4,Jagung basah degan kulit,PADI-PADIAN,tkpi,AR015,147,5.1,0.7,31.5,1.3,0.9,0,113,0.24,0.1,0.8,9,6,0.13,1.1,122,33.6,5,0.9,100,61.8,261,,,,,,,,
01.1.1.1.005/2,5,Jagung pipilan/beras jagung/jagung titi,PADI-PADIAN,tkpi,AP052; AR005; AR006; AR016; AR017; AR018,356.6666666666667,6.866666666666667,3.233333333333333,76.15,4.75,1.1166666666666667,,571.4,0.15666666666666668,0.08600000000000001,1.1400000000000001,1.2,15.833333333333334,1.5833333333333335,2.1666666666666665,250.33333333333334,77.84,1.8,3.9799999999999995,100,12.65,3271.75,,,,,,,,
01.1.1.5.005,6,Tepung terigu,PADI-PADIAN,tkpi,AP025,333,9,1,77.2,0.3,1,0,0,0.1,0.07,1,0,22,0,1.3,150,0,2,2.8,100,11.8,0,,,,,,,,
01.1.1,7,Padi-padian lainnya,PADI-PADIAN,tkpi,AR014; AR019; AR020; AR021,351,9.475,3.05,71.4,3.55,1.675,0,22,0.2675,0.2,2.45,0,149.5,0.4166666666666667,6.5,257,300.26666666666665,22.75,1.1666666666666667,97.5,14.4,,,,,,,,,
,8,UMBI-UMBIAN,UMBI-UMBIAN,food_category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.1.7.8.001,9,Ketala pohon/singkong,UMBI-UMBIAN,tkpi,BR016,154,1,0.3,36.8,0.9,0.5,0,0,0.06,0.1,0.5,31,77,0.3,1.1,24,394,2,0.4,85,61.4,0,,,,,,,,
01.1.7.8.002,10,Ketela rambat/ubi jalar,UMBI-UMBIAN,tkpi,BR028; BR029; BR030; BR031; BR032; BR033,111.5,1.2166666666666668,0.3666666666666667,34.63333333333333,2.716666666666667,0.9,0,136.66666666666669,0.095,0.12833333333333333,0.5166666666666666,16,25.833333333333332,0.16666666666666666,0.9166666666666667,61.33333333333333,217.38333333333333,27,0.3333333333333333,85.5,72.15,1070,,,,,,,,
01.1.1.5.007,11,Sagu (bukan dari ketela pohon),UMBI-UMBIAN,tkpi,BR018; BR019; BR021,311,0.7,0.5333333333333333,75.8,2.7333333333333334,0.33333333333333337,0,0,0.18,0.03333333333333334,0.16666666666666669,0,47,0.06666666666666667,0.8333333333333334,72.33333333333333,66.66666666666666,6.666666666666667,0.16666666666666666,100,22.633333333333333,0,,,,,,,,
01.1.7.8.004,12,Talas/keladi,UMBI-UMBIAN,tkpi,BR004; BR006; BR023; BR024; BR025; BR026; BR027,150.85714285714286,1.4857142857142858,0.4,34.9,2.914285714285714,1.0571428571428572,0,9.285714285714286,0.05285714285714286,0.09571428571428572,1.3571428571428572,2.6,37.857142857142854,0.2714285714285714,1.2857142857142856,78,381.04285714285714,11.333333333333332,0.9285714285714286,85.14285714285714,62.285714285714285,42.333333333333336,,,,,,,,
01.1.7.7.001,13,Kentang,UMBI-UMBIAN,tkpi,BR013; BR014,102,1.5,0.30000000000000004,23.6,2.95,0.9,0,0,0.05499999999999999,0.1,1.6,29.5,48.5,0.65,0.44999999999999996,66.5,643.15,14.5,0.44999999999999996,80,73.7,0,,,,,,,,
01.1.7.8.001,14,Gaplek,UMBI-UMBIAN,tkpi,BP066,345,2.4,0.4,83.1,6.7,1.1,,1,0.3,0.2,0.1,0.2,18,0.4,1.5,95,55,6,1.2,100,13,0,,,,,,,,
01.1.7.8,15,Umbi-umbian lainnya,UMBI-UMBIAN,tkpi,BR001; BR002; BR003; BR005; BR007; BR008; BR009; BR010; BR011; BR012; BR015; BR017; BR020; BR022,151.85714285714286,1.2142857142857142,0.4428571428571429,35.6,2.775,0.6928571428571428,0,1.0714285714285716,0.1492857142857143,0.026666666666666665,0.8166666666666667,2.6428571428571432,25.5,0.30833333333333335,0.9214285714285715,36.357142857142854,400.425,27.5,0.3416666666666667,87.35714285714286,61.67857142857143,0,,,,,,,,
,52,DAGING,DAGING,food_category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.1.2.1.001,53,Daging sapi,DAGING,tkpi,FR001; FR002; FR003; FR025; FR026,184.6,19.18,12,0,0,2.02,9,105.8,0.1,0.30600000000000005,4.22,0,10.8,1.02,2.7399999999999998,189,433.92,100.2,3.7800000000000002,100,66.8,,,,,,,,,
01.1.2.3.001,54,"Daging kambing, domba/biri-biri",DAGING,tkpi,FR016; FR017; FR019,222.66666666666666,16.46666666666667,17.233333333333334,0,0,2.1666666666666665,0,0,0.12666666666666668,0.24000000000000002,5.733333333333333,0,10,0.16666666666666666,2,157.33333333333334,288.6,83.33333333333333,3.8000000000000003,100,64.13333333333333,,,,,,,,,
01.1.2.2.001,55,Daging babi,DAGING,tkpi,FR008; FR009,412,13,40,0,0,1,0,0,0.625,0.45999999999999996,5.65,0,7.5,0.20500000000000002,1.9500000000000002,134,762.8,104.5,0.4,100,46,,,,,,,,,
01.1.2.4.003,56,Daging ayam ras,DAGING,tkpi,FR005,298,18.2,25,0,0,0.9,245,0,0.08,0.14,10.4,0,14,0.11,1.5,200,385.9,109,0.6,58,55.9,,,,,,,,,
01.1.2.4.002,57,Daging ayam kampung,DAGING,tkpi,FR005,298,18.2,25,0,0,0.9,245,0,0.08,0.14,10.4,0,14,0.11,1.5,200,385.9,109,0.6,58,55.9,,,,,,,,,
