food_item_id_urut,n_records,median_g_day,max_g_day,n_implausible_volume,median_r_protein,median_r_energy,suspect_misclassification,n_implausible_fct,implausible_nutrient,value,median_across_items
164,788,7.142857142857143,292.85714285714283,33,2.973351104240287,3.665540540540542,TRUE,4,total_carotene,3284.20689655172,303.77450980392155
164,788,7.142857142857143,292.85714285714283,33,2.973351104240287,3.665540540540542,TRUE,4,beta_carotene,2209.57692307692,22.625
164,788,7.142857142857143,292.85714285714283,33,2.973351104240287,3.665540540540542,TRUE,4,vitamin_c,14.2058823529412,1
164,788,7.142857142857143,292.85714285714283,33,2.973351104240287,3.665540540540542,TRUE,4,copper,2.64703703703704,0.1725
129,4391,0.7619047619047619,20,4,0.7607282184655406,0.44394618834080773,TRUE,4,beta_carotene,6500,22.625
129,4391,0.7619047619047619,20,4,0.7607282184655406,0.44394618834080773,TRUE,4,potassium,5859.03333333333,248.25
129,4391,0.7619047619047619,20,4,0.7607282184655406,0.44394618834080773,TRUE,4,vitamin_c,108,1
129,4391,0.7619047619047619,20,4,0.7607282184655406,0.44394618834080773,TRUE,4,iron,24.9333333333333,1.62772931506849
97,1514,28.571428571428573,1000,1,0.42453297860914035,0.25516202729863063,TRUE,4,total_carotene,3085.61904761905,303.77450980392155
97,1514,28.571428571428573,1000,1,0.42453297860914035,0.25516202729863063,TRUE,4,beta_carotene,1877.69306930693,22.625
97,1514,28.571428571428573,1000,1,0.42453297860914035,0.25516202729863063,TRUE,4,vitamin_c,26.8925619834711,1
97,1514,28.571428571428573,1000,1,0.42453297860914035,0.25516202729863063,TRUE,4,copper,11.0895833333333,0.1725
128,87,3.333333333333333,28.571428571428573,0,0.7607282184655406,0.44394618834080773,TRUE,4,beta_carotene,6500,22.625
128,87,3.333333333333333,28.571428571428573,0,0.7607282184655406,0.44394618834080773,TRUE,4,potassium,5859.03333333333,248.25
128,87,3.333333333333333,28.571428571428573,0,0.7607282184655406,0.44394618834080773,TRUE,4,vitamin_c,108,1
128,87,3.333333333333333,28.571428571428573,0,0.7607282184655406,0.44394618834080773,TRUE,4,iron,24.9333333333333,1.62772931506849
70,331,17.857142857142858,95.23809523809523,0,0.4,0.4,TRUE,3,calcium,800,48.4323324541285
70,331,17.857142857142858,95.23809523809523,0,0.4,0.4,TRUE,3,vitamin_c,30,1
70,331,17.857142857142858,95.23809523809523,0,0.4,0.4,TRUE,3,riboflavin,1.31,0.116410256410256
145,4418,3.5714285714285716,14.285714285714286,0,0.25533401973530934,0.32395515882345155,TRUE,3,beta_carotene,1739.38461538462,22.625
145,4418,3.5714285714285716,14.285714285714286,0,0.25533401973530934,0.32395515882345155,TRUE,3,vitamin_c,20.1,1
145,4418,3.5714285714285716,14.285714285714286,0,0.25533401973530934,0.32395515882345155,TRUE,3,thiamin,13.4646666666667,0.1
