year,province,district,fish_group,species,sector,volume_ton,value_rp_million,price_rp_kg
2020,MALUKU UTARA,HALMAHERA SELATAN,KAKATUA,KAKATUA,LAUT,1843.13,46078,25000
2020,MALUKU UTARA,KEPULAUAN SULA,KURISI,KURISI BALI,LAUT,1825.17,43348,23750
2020,MALUKU UTARA,KOTA TIDORE KEPULAUAN,EKOR KUNING,EKOR KUNING,LAUT,1788.43,58745,32847
2020,MALUKU UTARA,HALMAHERA UTARA,EKOR KUNING,EKOR KUNING,LAUT,1732.82,49818,28750
2020,MALUKU UTARA,KOTA TIDORE KEPULAUAN,SELAR,SELAR BENTONG,LAUT,1650.33,33007,20000
2020,MALUKU UTARA,PULAU TALIABU,TERI,TERI NASI,LAUT,1645.04,16450,10000
2020,MALUKU UTARA,KEPULAUAN SULA,EKOR KUNING,LOLOSI PAPAN,LAUT,1635.29,53147,32500
2020,MALUKU UTARA,HALMAHERA TENGAH,KAKAP,KAKAP MERAH,LAUT,1584.93,31699,20000
2020,MALUKU UTARA,KOTA TERNATE,KERAPU,KERAPU KARANG,LAUT,1576.01,40910,25958
2020,MALUKU UTARA,PULAU TALIABU,KAKAP,KAKAP MERAH,LAUT,1514.53,35970,23750
2020,MALUKU UTARA,HALMAHERA SELATAN,SELAR,SELAR BENTONG,LAUT,1486.2,29724,20000
2020,MALUKU UTARA,HALMAHERA SELATAN,TONGKOL,TONGKOL ABU-ABU,LAUT,1461.6,28487,19490
2020,MALUKU UTARA,KOTA TIDORE KEPULAUAN,KEMBUNG,KEMBUNG LELAKI,LAUT,1437.72,28754,20000
2020,MALUKU UTARA,KOTA TERNATE,LAYANG,LAYANG BIRU,LAUT,1423.89,28478,20000
2020,MALUKU UTARA,HALMAHERA UTARA,JULUNG-JULUNG,JULUNG-JULUNG,LAUT,1384.58,27692,20000
2020,MALUKU UTARA,HALMAHERA TIMUR,KEMBUNG,KEMBUNG LELAKI,LAUT,1325.78,26516,20000
2020,MALUKU UTARA,HALMAHERA BARAT,TONGKOL,TONGKOL KOMO,LAUT,1317.2,26344,20000
2020,MALUKU UTARA,HALMAHERA TIMUR,TONGKOL,TONGKOL ABU-ABU,LAUT,1291.54,25831,20000
2020,MALUKU UTARA,KEPULAUAN SULA,KERAPU,KERAPU MERAH BINTIK BIRU,LAUT,1290.73,45176,35000
2020,MALUKU UTARA,KEPULAUAN SULA,BARONANG,BARONANG,LAUT,1271.75,31794,25000
2020,MALUKU UTARA,PULAU MOROTAI,KERAPU,KERAPU KARANG,LAUT,1262.7,44195,35000
2020,MALUKU UTARA,KEPULAUAN SULA,TERI,TERI NASI,LAUT,1238.96,12390,10000
2020,MALUKU UTARA,HALMAHERA TIMUR,LAYANG,LAYANG BIRU,LAUT,1177.09,23542,20000
2020,MALUKU UTARA,HALMAHERA SELATAN,JULUNG-JULUNG,JULUNG-JULUNG,LAUT,1162.31,21309,18333
2020,MALUKU UTARA,HALMAHERA SELATAN,TONGKOL,TONGKOL KOMO,LAUT,1110.44,22209,20000
2020,MALUKU UTARA,KOTA TERNATE,BIJI NANGKA,BIJI NANGKA KARANG,LAUT,1072.34,26908,25092
2020,MALUKU UTARA,HALMAHERA TENGAH,SELAR,SELAR BENTONG,LAUT,1067.54,21351,20000
2020,MALUKU UTARA,PULAU TALIABU,TONGKOL,TONGKOL KOMO,LAUT,1067.32,21346,20000
2020,MALUKU UTARA,HALMAHERA UTARA,KERAPU,KERAPU KARANG,LAUT,1062.2,35044,32992
2020,MALUKU UTARA,PULAU TALIABU,TENGGIRI,TENGGIRI PAPAN,LAUT,1057.22,21144,20000
2020,MALUKU UTARA,PULAU TALIABU,KUWE,KUWE SIRIP BIRU,LAUT,1011.8,24030,23750
2020,MALUKU UTARA,PULAU TALIABU,KERAPU,KERAPU KARANG,LAUT,988.83,32137,32500
2020,MALUKU UTARA,HALMAHERA BARAT,TERI,TERI NASI,LAUT,962.31,10442,10851
2020,MALUKU UTARA,HALMAHERA SELATAN,CUMI-CUMI,CUMI-CUMI,LAUT,959.71,15995,16667
2020,MALUKU UTARA,HALMAHERA BARAT,EKOR KUNING,LOLOSI PAPAN,LAUT,932.54,25179,27000
2020,MALUKU UTARA,HALMAHERA UTARA,BIJI NANGKA,BIJI NANGKA KARANG,LAUT,926.1,23152,25000
2020,MALUKU UTARA,HALMAHERA TENGAH,TUNA,TUNA SIRIP KUNING; MADIDIHANG,LAUT,922.24,18445,20000
2020,MALUKU UTARA,HALMAHERA SELATAN,TENGGIRI,TENGGIRI,LAUT,914.4,22860,25000
2020,MALUKU UTARA,KEPULAUAN SULA,TONGKOL,TONGKOL ABU-ABU,LAUT,904.59,18092,20000
2020,MALUKU UTARA,KOTA TERNATE,LAYANG,LAYANG LIDI; LAYAR DELES,LAUT,904.07,11864,13123
2020,MALUKU UTARA,KEPULAUAN SULA,KAKATUA,KAKATUA BIRU,LAUT,893.63,21224,23750
2020,MALUKU UTARA,HALMAHERA TIMUR,BIJI NANGKA,KUNIRAN; BIJI NANGKA,LAUT,874.66,21188,24224
2020,MALUKU UTARA,KEPULAUAN SULA,KUWE,KUWE SIRIP BIRU,LAUT,835.55,19844,23750
2020,MALUKU UTARA,HALMAHERA BARAT,TUNA,TUNA SIRIP KUNING; MADIDIHANG,LAUT,835.3,20882,25000
2020,MALUKU UTARA,PULAU MOROTAI,KAKAP,KAKAP MERAH,LAUT,825.76,20609,24958
2020,MALUKU UTARA,KEPULAUAN SULA,KAKAP,KAKAP PUTIH; BARAMUNDI,LAUT,818.97,20474,25000
2020,MALUKU UTARA,KOTA TERNATE,TENGGIRI,TENGGIRI PAPAN,LAUT,780.37,18458,23653
2020,MALUKU UTARA,HALMAHERA UTARA,KAKAP,KAKAP PUTIH; BARAMUNDI,LAUT,766.55,19164,25000
