aqua,hh_id,hh_id_data_link,iron_standardized_weekly_member_total,zinc_standardized_weekly_member_total,niacin_standardized_weekly_member_total,edible_weekly_member_total
nonaquatic,72801,309832,0.9678550958455328,1.0724778225125218,1.1347458384282538,17122.847619047618
nonaquatic,72897,313770,0.9810582713085237,0.7478042132343848,5.407136631622345,20049.44222222222
nonaquatic,72932,313589,0.5767769607843138,0.49507823826173836,0.6263334077380944,5573.554166666667
nonaquatic,72938,310925,0.644351141471995,0.581898184626598,0.8864605964239428,15751.422619047618
nonaquatic,72997,312152,0.7487707876311319,0.6490897940155084,0.8170128930754023,17433.526666666665
nonaquatic,73007,312498,0.7263570631192138,0.707141226518678,0.8203627904350679,6829.855698005698
nonaquatic,73009,312265,0.7141082162865148,0.6877857908329766,0.8039814115646253,6011.023333333333
nonaquatic,73028,309449,0.6374045751633989,0.5617275391275391,0.7049599309420734,4067.166666666667
nonaquatic,73231,312091,0.9324037114845941,0.9099685714285718,0.9552602040816311,6900.583333333333
nonaquatic,73232,312159,0.7058180783105729,0.7671282377939522,1.1017953565221579,15208.422222222223
nonaquatic,73308,311360,0.3483053221288517,0.34705124018838307,0.44199390184645226,2444.0238095238105
nonaquatic,73434,313867,0.617368888888889,0.5250469370629371,0.7468199546485254,4906.9333333333325
nonaquatic,73449,310926,0.7663658357101962,0.746472356106613,3.025622675901969,15495.6922008547
nonaquatic,73460,314226,0.767186846349651,0.8037500672161175,1.0366136302652371,6499.297222222221
nonaquatic,73806,309134,0.9938974337333808,1.0345704750712252,1.177752688459104,8761.480555555556
nonaquatic,73816,312234,0.6477903954197269,0.8401371284792307,0.6263539264662196,4959.526984126985
nonaquatic,73828,311912,0.3165002334947586,0.4139733118572392,0.3762155860983848,3581.2040816326526
nonaquatic,73878,313211,1.0363668715722265,0.82909182668209,7.048176581004774,19159.317735042736
nonaquatic,73881,309333,0.4290335288124007,0.5746546913637313,0.5493504122720475,4446.059560439559
nonaquatic,73978,311633,0.5762406197515488,0.5361697354154618,2.3957648223462833,8747.22547008547
nonaquatic,74128,311779,0.8585746962785118,0.8227536879120882,0.713704009353741,5192.325833333333
nonaquatic,74185,309439,0.4670708104575164,0.6008442417582418,0.5935850566893418,4456.053333333332
nonaquatic,74272,311846,0.5038846520295738,0.32803383468286096,0.4399963268701989,12674.21047008547
nonaquatic,74278,311085,0.35609194189945564,0.3376011478042635,0.4613767393479326,2987.746184371184
nonaquatic,74380,311438,0.46682798348597326,0.4760482604106419,0.5689223969646369,3965.179700854701
nonaquatic,74409,311115,0.5811043787515008,0.5404121765767567,0.5790031717687067,13853.351666666667
nonaquatic,74801,311780,0.6451885154061628,0.8023113904761907,0.7167869274376409,5354.266666666666
nonaquatic,74807,310476,0.6527492488328667,0.6974445301831501,1.3770227811791365,5199.103333333332
nonaquatic,74842,309729,0.4760239954780362,0.4494760100732602,0.5767399080646748,3803.633333333333
nonaquatic,74892,310491,0.5622106693471041,0.5273531320425606,2.8604309901738456,4442.668253968255
nonaquatic,74966,309707,0.9341589337241967,1.481956708309235,0.9120946825371133,7609.58547008547
nonaquatic,75004,311605,0.4106632061157798,0.4562699166666666,0.6764457624716547,4219.725
nonaquatic,75133,314301,0.9079950215380269,0.6390000000000002,0.8467346938775505,18140
nonaquatic,75156,313717,0.6834978970204764,0.5452204172360974,0.7331455788819957,4699.924666666666
nonaquatic,75164,313240,0.5496385248216936,0.54250221978022,0.641777747592543,18353.783333333333
nonaquatic,75640,310042,1.3791843253968257,1.1106770824175825,1.3237466269841263,16661.73333333333
nonaquatic,75654,312407,0.8402322712491291,0.7819262078272605,0.9456123505779517,7700.129273504274
nonaquatic,75782,311937,0.6707089117859013,0.5391239002267573,0.6834807789212545,4587.777777777778
nonaquatic,75822,309647,0.6079106847002369,0.69794965855573,0.9489173444740203,5586.999999999999
nonaquatic,75827,311492,0.37571802054155007,0.32183340659340665,0.506281306689342,3602.475
nonaquatic,75947,312950,0.5671992463652131,0.610554835164835,3.1016350546279106,4888.991666666667
nonaquatic,76039,314076,0.570668364975858,0.5340382738461539,0.6770489418863798,9072.760666666667
nonaquatic,76051,313144,0.36961594771241835,0.3660748923076923,2.946934308390022,2900.6666666666665
nonaquatic,76072,309930,0.45815868071163085,0.4099608661493895,0.5723838462668773,3665.9864468864466
nonaquatic,76085,310276,0.3313415372815795,0.35215596570096563,1.30362639275407,2856.858333333333
nonaquatic,76086,310845,0.5354644397794139,0.44838179807210343,4.85069119358354,4426.582051282052
nonaquatic,76087,310630,0.6302414565826331,0.8939437362637366,7.104181972789115,4952.333333333333
nonaquatic,76088,310542,0.7167552299253037,0.7754205265567763,1.1367280753968239,10504.475
nonaquatic,76132,311493,0.3545109119203238,0.4289282832722833,0.5152321806500371,2661.177777777778
nonaquatic,76157,312420,0.9797465367077064,0.7398225718947722,1.091017517376516,11748.744999999999
nonaquatic,76252,310384,0.34658199966916103,0.42024781078850976,0.46807938781803987,2720.334871794872
nonaquatic,76263,312421,1.319937587704667,1.055710419080669,1.4003988234511366,14003.168376068375
nonaquatic,76317,310052,0.2527008198237629,0.29021642367673994,0.37225304627267525,7083.8810416666665
nonaquatic,76430,309763,0.4322227513227514,0.4003104908424909,0.36366721466364305,4453.666666666666
nonaquatic,76441,309543,0.4212143946467477,0.5665598253968254,0.5519032690854113,3684.1666666666665
nonaquatic,76524,310534,0.5553131502601043,0.6085185044479331,3.114521079931971,4309.958333333332
nonaquatic,76558,313276,0.7171043623918846,0.6429285230396271,0.9053602913052147,12369.670666666667
nonaquatic,76573,314264,0.3048841250786029,0.3009719647971077,0.3671221331389694,3024.3809523809523
nonaquatic,76658,309459,0.6088574883286649,0.6668170805860806,0.7005713577097503,5709.6500000000005
nonaquatic,76666,309303,0.3670490366980126,0.332563554356358,0.47569612386621274,3435.104166666666
nonaquatic,76786,313428,0.8871310685204318,0.6274315673469387,3.8948009921755253,24072.693333333333
nonaquatic,76807,310707,0.5394504173859868,0.5524153799808503,0.6652053993975714,5057.3050603717265
nonaquatic,76821,312841,0.4929219458450048,0.38978303150183147,0.6632747902494325,3757.7966666666666
nonaquatic,77026,310839,0.8825863615399573,1.168971428571429,1.3530708180708166,8485
nonaquatic,77035,310216,0.5752479365079366,0.5093026617826618,2.4805709441352293,9887.666666666666
