district,n_households,total,aquatic,nonaquatic,pct_aquatic
1,513,8085.5941422796395,737.5020586409474,7348.092083638692,9.12118572442986
2,468,10600.696757595799,863.8679382346048,9736.828819361193,8.149161871040324
3,541,8366.411221283337,929.1441691549361,7437.267052128403,11.105647864777238
4,523,7411.081231572761,900.4941438421363,6510.587087730624,12.150644632065863
5,549,7925.500985852844,703.214684930532,7222.286300922312,8.872810516152638
6,516,9042.455493186293,803.9557109019319,8238.499782284362,8.890900392130565
7,510,9560.090589529751,660.3875447754859,8899.703044754266,6.907754048886785
8,521,8024.710819014106,1051.8775706059773,6972.833248408128,13.10798101426424
71,557,13283.30093127997,657.4276914438044,12625.873239836166,4.949279511508101
72,582,9579.19724758632,752.7750484099711,8826.42219917635,7.858435617866085
